Data,Horário,Estádio,Árbitro,Casa,GolsCasa,GolsVisitante,Visitante
29/07/2020,19:30,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),FABIO MARESCA,Sassuolo,5,0,Genoa
29/07/2020,19:30,DACIA ARENA - STADIO FRIULI (Udine),DANIELE ORSATO,Udinese,1,2,Lecce
29/07/2020,21:45,UNIPOL DOMUS (Cagliari),DAVIDE GHERSINI,Cagliari,2,0,Juventus
29/07/2020,21:45,ARTEMIO FRANCHI (Firenze),MARCO DI BELLO,Fiorentina,4,0,Bologna
29/07/2020,21:45,OLIMPICO GRANDE TORINO (Torino),MARCO PICCININI,Torino,2,3,Roma
01/08/2020,18:00,MARIO RIGAMONTI (Brescia),MICHAEL FABBRI,Brescia,1,1,Sampdoria
01/08/2020,20:45,GEWISS STADIUM (Bergamo),PIERO GIACOMELLI,Atalanta,0,2,Inter
01/08/2020,20:45,ALLIANZ STADIUM (Torino),GIANLUCA ROCCHI,Juventus,1,3,Roma
01/08/2020,20:45,GIUSEPPE MEAZZA (Milano),MARCO SERRA,Milan,3,0,Cagliari
01/08/2020,20:45,SAN PAOLO (Napoli),GIANPAOLO CALVARESE,Napoli,3,1,Lazio
02/08/2020,18:00,PAOLO MAZZA (Ferrara),ALESSANDRO PRONTERA,Spal,1,3,Fiorentina
02/08/2020,20:45,RENATO DALL'ARA (Bologna),ANTONIO DI MARTINO,Bologna,1,1,Torino
02/08/2020,20:45,LUIGI FERRARIS (Genova),MASSIMILIANO IRRATI,Genoa,3,0,Hellas Verona
02/08/2020,20:45,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),MAURIZIO MARIANI,Lecce,3,4,Parma
02/08/2020,20:45,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),DANIEL AMABILE,Sassuolo,0,1,Udinese
